,trace,full_seq_len,input_x_seq_len,true_y_seq_len,pred_y_seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy,input,true_encoded,pred_encoded,true_encoded_with_padding,pred_encoded_with_padding,true_decoded,pred_decoded
1078,1078,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1079,1079,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1080,1080,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1081,1081,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1082,1082,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1083,1083,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1084,1084,6,6,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.25,0.25,0.8333333333333334,0.275,0.0,0.25,0.19999999999999996,0.8333333333333334,0.8301431339502362,019 | 019-001 | 019-001-005 | 019-001-005-002 | 019-001-005-002-003 | 019-001-005-002-003-004,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_PRE_APPROVER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1085,1085,5,5,5,5,1.0,1.0,1.0,1.0,0.23809523809523814,0.23809523809523814,1.0,0.23809523809523808,0.0,0.23809523809523814,0.23809523809523814,1.0,0.8465988780395887,019 | 019-001 | 019-001-002 | 019-001-002-003 | 019-001-002-003-004,001 -> 002 -> 003 -> 004 -> 020,001 -> 002 -> 003 -> 004 -> 020,001 -> 002 -> 003 -> 004 -> 020,001 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1086,1086,9,9,9,9,0.8888888888888888,0.8888888888888888,1.0,0.9259259259259258,0.47058823529411764,0.47058823529411764,0.8888888888888888,0.5,0.4466230936819173,0.47058823529411764,0.4117647058823529,0.8888888888888888,0.8830279728956628,019 | 019-001 | 019-001-014 | 019-001-014-008 | 019-001-014-008-001 | 019-001-014-008-001-011 | 019-001-014-008-001-011-002 | 019-001-014-008-001-011-002-003 | 019-001-014-008-001-011-002-003-004,001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_REJECTED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1087,1087,8,8,8,8,0.5,0.5,0.41666666666666663,0.45,0.2222222222222222,0.2222222222222222,0.5,0.3333333333333333,0.4027777777777777,0.2777777777777778,0.11111111111111116,0.625,0.8300529013384892,019 | 019-001 | 019-001-014 | 019-001-014-008 | 019-001-014-008-001 | 019-001-014-008-001-014 | 019-001-014-008-001-014-001 | 019-001-014-008-001-014-001-008,001 -> 014 -> 008 -> 001 -> 014 -> 001 -> 008 -> 020,001 -> 011 -> 008 -> 001 -> 011 -> 008 -> 011 -> 020,001 -> 014 -> 008 -> 001 -> 014 -> 001 -> 008 -> 020,001 -> 011 -> 008 -> 001 -> 011 -> 008 -> 011 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_REJECTED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_REJECTED_ADMINISTRATION -> DECL_SUBMITTED_EMPLOYEE -> DECL_REJECTED_EMPLOYEE -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> <E>
1088,1088,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1089,1089,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1090,1090,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1091,1091,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1092,1092,6,6,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.25,0.25,0.8333333333333334,0.275,0.0,0.25,0.19999999999999996,0.8333333333333334,0.8301431339502362,019 | 019-001 | 019-001-005 | 019-001-005-002 | 019-001-005-002-003 | 019-001-005-002-003-004,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 005 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_PRE_APPROVER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1093,1093,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1094,1094,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1095,1095,9,9,9,9,0.8888888888888888,0.8888888888888888,1.0,0.9259259259259258,0.47058823529411764,0.47058823529411764,0.8888888888888888,0.5,0.4466230936819173,0.47058823529411764,0.4117647058823529,0.8888888888888888,0.8830279728956628,019 | 019-001 | 019-001-014 | 019-001-014-008 | 019-001-014-008-001 | 019-001-014-008-001-011 | 019-001-014-008-001-011-002 | 019-001-014-008-001-011-002-003 | 019-001-014-008-001-011-002-003-004,001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 014 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 008 -> 001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_REJECTED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_REJECTED_EMPLOYEE -> DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1096,1096,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1097,1097,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1098,1098,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1099,1099,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1100,1100,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1101,1101,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1102,1102,5,5,5,5,0.8,0.8,0.8,0.8,0.19047619047619047,0.19047619047619047,0.8,0.21428571428571427,0.0,0.19047619047619047,0.1428571428571429,0.8,0.8234427245269746,019 | 019-001 | 019-001-002 | 019-001-002-003 | 019-001-002-003-004,001 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 004 -> 020,001 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> Request_Payment -> Payment_Handled -> <E>
1103,1103,7,7,7,7,0.8571428571428571,0.8571428571428571,1.0,0.9047619047619048,0.3157894736842105,0.3157894736842105,0.8571428571428572,0.34210526315789475,0.0,0.3157894736842105,0.21052631578947367,0.8571428571428571,0.8424448292798677,019 | 019-001 | 019-001-011 | 019-001-011-012 | 019-001-011-012-002 | 019-001-011-012-002-003 | 019-001-011-012-002-003-004,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 012 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_APPROVED_BUDGET_OWNER -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
1104,1104,6,6,6,6,1.0,1.0,1.0,1.0,0.30000000000000004,0.30000000000000004,1.0,0.3,0.0,0.30000000000000004,0.30000000000000004,1.0,0.8516002836157077,019 | 019-001 | 019-001-011 | 019-001-011-002 | 019-001-011-002-003 | 019-001-011-002-003-004,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,001 -> 011 -> 002 -> 003 -> 004 -> 020,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>,DECL_SUBMITTED_EMPLOYEE -> DECL_APPROVED_ADMINISTRATION -> DECL_FINAL_APPROVED_SUPERVISOR -> Request_Payment -> Payment_Handled -> <E>
